epoch	sample	loss	
 0.0000e+00	 7.8474e+01	
 0.0000e+00	 8.1151e+01	
 0.0000e+00	 7.8030e+01	
 0.0000e+00	 8.5159e+01	
 0.0000e+00	 7.9952e+01	
 0.0000e+00	 8.1267e+01	
 0.0000e+00	 7.9548e+01	
 0.0000e+00	 7.9341e+01	
 0.0000e+00	 7.8385e+01	
 0.0000e+00	 7.6433e+01	
 0.0000e+00	 7.4539e+01	
 0.0000e+00	 7.8116e+01	
 0.0000e+00	 7.6504e+01	
 0.0000e+00	 8.0915e+01	
 0.0000e+00	 7.6436e+01	
 0.0000e+00	 7.8547e+01	
 0.0000e+00	 7.5779e+01	
 0.0000e+00	 7.7320e+01	
 0.0000e+00	 7.7332e+01	
 0.0000e+00	 7.9984e+01	
 0.0000e+00	 7.7465e+01	
 0.0000e+00	 8.6560e+01	
 0.0000e+00	 8.0745e+01	
 0.0000e+00	 7.3457e+01	
 0.0000e+00	 7.4305e+01	
 0.0000e+00	 7.5224e+01	
 0.0000e+00	 7.4494e+01	
 0.0000e+00	 7.6808e+01	
 0.0000e+00	 7.6550e+01	
 0.0000e+00	 7.8067e+01	
 0.0000e+00	 7.5745e+01	
 0.0000e+00	 8.4351e+01	
 0.0000e+00	 8.0405e+01	
 0.0000e+00	 7.2365e+01	
 0.0000e+00	 7.3934e+01	
 0.0000e+00	 7.3961e+01	
 0.0000e+00	 7.6673e+01	
 0.0000e+00	 7.3376e+01	
 0.0000e+00	 7.5510e+01	
 0.0000e+00	 7.4658e+01	
 0.0000e+00	 7.2448e+01	
 0.0000e+00	 7.2495e+01	
 0.0000e+00	 7.5223e+01	
 0.0000e+00	 7.5570e+01	
 0.0000e+00	 7.3803e+01	
 0.0000e+00	 7.1502e+01	
 0.0000e+00	 7.7909e+01	
 0.0000e+00	 7.8929e+01	
 0.0000e+00	 7.5526e+01	
 0.0000e+00	 7.5717e+01	
 0.0000e+00	 7.1546e+01	
 0.0000e+00	 7.4977e+01	
 0.0000e+00	 7.2484e+01	
 0.0000e+00	 7.2620e+01	
 0.0000e+00	 7.2922e+01	
 0.0000e+00	 7.3005e+01	
 0.0000e+00	 7.0620e+01	
 0.0000e+00	 7.0800e+01	
 0.0000e+00	 7.1024e+01	
 0.0000e+00	 6.9344e+01	
 0.0000e+00	 7.0492e+01	
 0.0000e+00	 7.3176e+01	
 0.0000e+00	 7.0886e+01	
 0.0000e+00	 7.1606e+01	
 0.0000e+00	 7.0272e+01	
