epoch	sample	loss	
 1.0000e+00	 1.5360e+04	 5.9935e+02	
 1.0000e+00	 1.5424e+04	 6.4392e+02	
 1.0000e+00	 1.5488e+04	 6.1062e+02	
 1.0000e+00	 1.5552e+04	 6.1999e+02	
 1.0000e+00	 1.5616e+04	 5.9243e+02	
 1.0000e+00	 1.5680e+04	 6.0853e+02	
 1.0000e+00	 1.5744e+04	 5.8147e+02	
 1.0000e+00	 1.5808e+04	 6.0149e+02	
 1.0000e+00	 1.5872e+04	 6.1026e+02	
 1.0000e+00	 1.5936e+04	 6.1205e+02	
 1.0000e+00	 1.6000e+04	 5.9478e+02	
 1.0000e+00	 1.6064e+04	 6.0668e+02	
 1.0000e+00	 1.6128e+04	 6.0544e+02	
 1.0000e+00	 1.6192e+04	 6.0817e+02	
 1.0000e+00	 1.6256e+04	 6.0586e+02	
 1.0000e+00	 1.6320e+04	 5.8314e+02	
 1.0000e+00	 1.6384e+04	 6.1243e+02	
 1.0000e+00	 1.6448e+04	 6.0785e+02	
 1.0000e+00	 1.6512e+04	 5.8321e+02	
 1.0000e+00	 1.6576e+04	 5.9456e+02	
 1.0000e+00	 1.6640e+04	 5.9770e+02	
 1.0000e+00	 1.6704e+04	 6.0295e+02	
 1.0000e+00	 1.6768e+04	 6.0773e+02	
 1.0000e+00	 1.6832e+04	 5.8316e+02	
 1.0000e+00	 1.6896e+04	 5.8750e+02	
 1.0000e+00	 1.6960e+04	 6.1404e+02	
 1.0000e+00	 1.7024e+04	 5.9924e+02	
 1.0000e+00	 1.7088e+04	 6.1033e+02	
 1.0000e+00	 1.7152e+04	 5.9120e+02	
 1.0000e+00	 1.7216e+04	 5.8164e+02	
 1.0000e+00	 1.7280e+04	 6.0418e+02	
 1.0000e+00	 1.7344e+04	 5.7512e+02	
 1.0000e+00	 1.7408e+04	 6.0482e+02	
 1.0000e+00	 1.7472e+04	 5.9870e+02	
 1.0000e+00	 1.7536e+04	 5.9281e+02	
 1.0000e+00	 1.7600e+04	 5.8399e+02	
 1.0000e+00	 1.7664e+04	 5.9559e+02	
 1.0000e+00	 1.7728e+04	 6.0118e+02	
 1.0000e+00	 1.7792e+04	 5.8900e+02	
 1.0000e+00	 1.7856e+04	 6.0200e+02	
 1.0000e+00	 1.7920e+04	 6.1584e+02	
 1.0000e+00	 1.7984e+04	 5.9984e+02	
 1.0000e+00	 1.8048e+04	 6.0066e+02	
 1.0000e+00	 1.8112e+04	 5.9168e+02	
 1.0000e+00	 1.8176e+04	 6.0098e+02	
 1.0000e+00	 1.8240e+04	 6.0287e+02	
 1.0000e+00	 1.8304e+04	 6.0955e+02	
 1.0000e+00	 1.8368e+04	 6.2634e+02	
 1.0000e+00	 1.8432e+04	 6.0313e+02	
 1.0000e+00	 1.8496e+04	 5.8790e+02	
 1.0000e+00	 1.8560e+04	 6.0162e+02	
 1.0000e+00	 1.8624e+04	 5.8722e+02	
